Birth Year,Year,Month,Number of Trips
1948,2013,12,1633
1907,2013,12,2
1910,2013,12,17
1934,2013,12,65
1997,2013,12,598
1945,2013,12,617
1929,2013,12,3
1971,2013,12,10046
1952,2013,12,2425
1984,2013,12,17327
1974,2013,12,11654
1962,2013,12,7606
1961,2013,12,6181
1944,2013,12,503
1977,2013,12,11431
1964,2013,12,8581
1966,2013,12,8235
1938,2013,12,87
1953,2013,12,3751
1949,2013,12,1437
1973,2013,12,9772
1990,2013,12,9996
1976,2013,12,10797
1965,2013,12,8289
1932,2013,12,9
1957,2013,12,5201
1939,2013,12,95
1958,2013,12,5944
1986,2013,12,15422
1959,2013,12,5694
1992,2013,12,3404
1933,2013,12,39
1960,2013,12,7042
1969,2013,12,10996
1922,2013,12,18
1955,2013,12,4072
1927,2013,12,10
1921,2013,12,3
1967,2013,12,9412
1996,2013,12,547
1947,2013,12,1109
1981,2013,12,16352
1901,2013,12,11
1991,2013,12,5156
1900,2013,12,81
1950,2013,12,1760
1899,2013,12,34
1994,2013,12,1627
1988,2013,12,14394
\N,2013,12,19379
1935,2013,12,60
1989,2013,12,12279
1937,2013,12,7
1983,2013,12,17496
1951,2013,12,2502
1963,2014,01,6151
1982,2014,01,10856
1953,2014,01,2490
1932,2014,01,6
1978,2014,01,9554
1899,2014,01,21
1958,2014,01,4425
1973,2014,01,6857
1949,2014,01,1013
1938,2014,01,56
1966,2014,01,5845
1968,2014,01,6309
1940,2014,01,128
1942,2014,01,309
1943,2014,01,208
1962,2014,01,5244
1989,2014,01,8425
1975,2014,01,6939
1984,2014,01,11903
1937,2014,01,1
1900,2014,01,92
1971,2014,01,7202
1929,2014,01,2
1974,2014,01,8212
1945,2014,01,361
1991,2014,01,3075
1926,2014,01,8
1910,2014,01,4
1951,2014,01,1523
1967,2014,01,6794
\N,2014,01,7254
1955,2014,01,2635
1931,2014,01,1
1960,2014,01,4762
1917,2014,01,2
1950,2014,01,1148
1972,2014,01,7115
1986,2014,01,10062
1934,2014,01,29
1941,2014,01,248
1939,2014,01,55
1995,2014,01,697
1965,2014,01,5552
1959,2014,01,3891
1990,2014,01,6856
1954,2014,01,2663
1981,2014,01,11210
1976,2014,01,7593
1977,2014,01,8171
1946,2014,01,534
1987,2014,01,9410
1980,2014,01,10463
1964,2014,01,6054
1952,2014,01,1641
1961,2014,01,4121
1920,2014,01,1
1921,2014,01,1
1944,2014,01,373
1901,2014,01,11
1936,2014,01,50
1935,2014,01,39
1983,2014,01,11973
1994,2014,01,959
1933,2014,01,25
1985,2014,01,11544
1997,2014,01,428
1988,2014,01,10146
1947,2014,01,771
1996,2014,01,433
1948,2014,01,1175
1956,2014,01,3246
1927,2014,01,4
1993,2014,01,1608
1970,2014,01,8460
1969,2014,01,7671
1957,2014,01,3272
1979,2014,01,10255
1992,2014,01,1756
1922,2014,01,19
1943,2014,02,130
1960,2014,02,3455
1956,2014,02,2319
1945,2014,02,214
1980,2014,02,7661
1958,2014,02,2976
1975,2014,02,4884
1984,2014,02,9139
1941,2014,02,164
1939,2014,02,43
1937,2014,02,24
1907,2014,02,5
1979,2014,02,7771
1992,2014,02,2168
1981,2014,02,8208
1951,2014,02,1158
1932,2014,02,8
1978,2014,02,6876
1976,2014,02,5579
1967,2014,02,4650
1961,2014,02,2747
1938,2014,02,75
1997,2014,02,251
1964,2014,02,4249
1927,2014,02,2
1993,2014,02,1687
1986,2014,02,8109
1950,2014,02,890
1934,2014,02,21
1917,2014,02,3
1957,2014,02,2238
1936,2014,02,31
1959,2014,02,2820
1994,2014,02,1215
1926,2014,02,5
1954,2014,02,1942
1953,2014,02,1775
1971,2014,02,4923
1988,2014,02,8048
1947,2014,02,451
1977,2014,02,5957
1946,2014,02,454
1991,2014,02,3074
1966,2014,02,4005
1970,2014,02,5736
1942,2014,02,182
1901,2014,02,11
1940,2014,02,84
1913,2014,02,1
1963,2014,02,4229
1982,2014,02,7968
1989,2014,02,6843
1972,2014,02,5028
1983,2014,02,8779
1973,2014,02,4974
1935,2014,02,14
1900,2014,02,68
1899,2014,02,9
1965,2014,02,3644
1968,2014,02,4476
1996,2014,02,334
1948,2014,02,807
1995,2014,02,827
1969,2014,02,5455
1962,2014,02,3641
1987,2014,02,7472
\N,2014,02,6717
1944,2014,02,311
1922,2014,02,32
1952,2014,02,1183
1974,2014,02,5848
1949,2014,02,725
1955,2014,02,1917
1990,2014,02,5697
1921,2014,02,1
1910,2014,02,4
1933,2014,02,10
1985,2014,02,9305
1976,2014,03,11328
1929,2014,03,1
1965,2014,03,7444
1990,2014,03,10509
1983,2014,03,16817
1972,2014,03,9756
1939,2014,03,65
1941,2014,03,402
1961,2014,03,5802
1981,2014,03,15394
1980,2014,03,14510
1956,2014,03,4212
1960,2014,03,6807
1942,2014,03,463
1970,2014,03,11018
1986,2014,03,15538
1985,2014,03,17145
1946,2014,03,758
1977,2014,03,12076
1947,2014,03,885
1988,2014,03,14818
1933,2014,03,22
1935,2014,03,41
1913,2014,03,2
1953,2014,03,3422
1954,2014,03,3571
1899,2014,03,14
1994,2014,03,1726
1957,2014,03,4724
1922,2014,03,29
1993,2014,03,2546
1927,2014,03,5
1951,2014,03,2350
1969,2014,03,10737
1944,2014,03,674
1997,2014,03,500
1938,2014,03,147
1901,2014,03,31
1948,2014,03,1541
1996,2014,03,699
1968,2014,03,8398
1936,2014,03,63
1952,2014,03,2309
1978,2014,03,13210
1932,2014,03,18
1900,2014,03,141
1910,2014,03,8
1973,2014,03,9502
1974,2014,03,10909
1992,2014,03,3300
1979,2014,03,14213
1924,2014,03,11
1989,2014,03,12687
1982,2014,03,15752
1958,2014,03,5295
1984,2014,03,17073
1975,2014,03,9674
1943,2014,03,296
1998,2014,03,6
1966,2014,03,8176
1991,2014,03,5633
1921,2014,03,13
1963,2014,03,8044
1971,2014,03,9777
1940,2014,03,138
1949,2014,03,1327
1945,2014,03,562
1950,2014,03,1567
1917,2014,03,6
1937,2014,03,43
1934,2014,03,52
1955,2014,03,3695
\N,2014,03,22882
1987,2014,03,14602
1962,2014,03,7306
1964,2014,03,8039
1926,2014,03,11
1959,2014,03,5382
1995,2014,03,1374
1967,2014,03,9094
1994,2014,04,2714
1961,2014,04,8121
1954,2014,04,5038
1940,2014,04,288
1924,2014,04,15
1966,2014,04,11302
1992,2014,04,5029
1988,2014,04,22345
1952,2014,04,3105
1977,2014,04,17396
1939,2014,04,87
1900,2014,04,203
1978,2014,04,19125
1983,2014,04,25478
1960,2014,04,8844
1989,2014,04,19869
1938,2014,04,163
1979,2014,04,20196
1917,2014,04,11
1963,2014,04,11191
1941,2014,04,506
1967,2014,04,12687
1945,2014,04,804
1926,2014,04,21
1993,2014,04,4328
1964,2014,04,11255
1990,2014,04,17201
1997,2014,04,697
1976,2014,04,16202
1934,2014,04,53
1932,2014,04,17
1953,2014,04,4577
1921,2014,04,14
1935,2014,04,73
1949,2014,04,1753
1959,2014,04,7630
1901,2014,04,64
1962,2014,04,10049
1957,2014,04,6697
1936,2014,04,52
1910,2014,04,7
1937,2014,04,27
1956,2014,04,5626
1980,2014,04,21537
1998,2014,04,98
1951,2014,04,2993
1950,2014,04,2269
1985,2014,04,26041
1972,2014,04,13699
1984,2014,04,26405
1982,2014,04,23438
1965,2014,04,11068
1931,2014,04,1
1974,2014,04,15728
1973,2014,04,14200
1899,2014,04,38
1975,2014,04,14561
1968,2014,04,11811
1958,2014,04,7057
1948,2014,04,1897
1987,2014,04,22546
1907,2014,04,3
1955,2014,04,4948
1929,2014,04,1
1969,2014,04,14578
1995,2014,04,1821
1986,2014,04,23878
1933,2014,04,45
1996,2014,04,839
1920,2014,04,1
\N,2014,04,63043
1971,2014,04,13567
1943,2014,04,446
1942,2014,04,634
1944,2014,04,765
1991,2014,04,8872
1922,2014,04,5
1947,2014,04,1421
1946,2014,04,918
1981,2014,04,23195
1970,2014,04,15553
1971,2014,05,17375
1913,2014,05,1
1947,2014,05,1604
1944,2014,05,818
1948,2014,05,2153
1989,2014,05,26029
1991,2014,05,11673
1899,2014,05,51
1970,2014,05,19303
1994,2014,05,2705
1969,2014,05,17760
1907,2014,05,6
1942,2014,05,768
1955,2014,05,5919
1929,2014,05,1
1988,2014,05,27646
1996,2014,05,1345
1982,2014,05,30069
1910,2014,05,42
1972,2014,05,17213
1973,2014,05,17652
1922,2014,05,11
1937,2014,05,57
\N,2014,05,107593
1965,2014,05,13216
1931,2014,05,1
1945,2014,05,1085
1968,2014,05,15455
1958,2014,05,8676
1943,2014,05,511
1949,2014,05,2098
1987,2014,05,29140
1980,2014,05,26655
1920,2014,05,2
1984,2014,05,32908
1917,2014,05,13
1995,2014,05,2061
1901,2014,05,73
1974,2014,05,19345
1962,2014,05,12488
1936,2014,05,58
1935,2014,05,101
1975,2014,05,18398
1952,2014,05,3595
1940,2014,05,305
1967,2014,05,15039
1986,2014,05,30149
1930,2014,05,2
1956,2014,05,7195
1993,2014,05,4819
1933,2014,05,24
1934,2014,05,27
1927,2014,05,2
1953,2014,05,5281
1985,2014,05,33800
1997,2014,05,1097
1992,2014,05,6113
1959,2014,05,9212
1950,2014,05,2896
1990,2014,05,21727
1960,2014,05,11188
1963,2014,05,13012
1939,2014,05,111
1978,2014,05,23825
1981,2014,05,29164
1941,2014,05,652
1946,2014,05,1096
1957,2014,05,7730
1938,2014,05,219
1979,2014,05,25462
1926,2014,05,21
1964,2014,05,13818
1951,2014,05,3800
1961,2014,05,10069
1954,2014,05,5754
1932,2014,05,34
1976,2014,05,20526
1977,2014,05,21726
1924,2014,05,10
1966,2014,05,13881
1983,2014,05,32222
1921,2014,05,39
1998,2014,05,154
1900,2014,05,243
1936,2014,06,103
1976,2014,06,21967
1965,2014,06,14423
1990,2014,06,24599
1983,2014,06,36826
1972,2014,06,18803
1920,2014,06,4
1933,2014,06,33
1939,2014,06,113
1941,2014,06,688
1942,2014,06,736
1930,2014,06,5
1931,2014,06,3
1980,2014,06,28559
1907,2014,06,9
1956,2014,06,7550
1960,2014,06,11643
